sample,mRNA,ncRNA,tRNA,mRNA_percent,ncRNA_percent,tRNA_percent,no_feature_percent,general.5_3_bias,status
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,5595891,7228,224,88.65,0.11,0,11.239999999999995,0.2,0
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,1939839,1504,101,93.15,0.07,0,6.780000000000001,0.62,0
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_30_none_2,11467624,6373,380,91.28,0.05,0,8.670000000000002,0.3,0
WT_Minimal_HisMetLeuUra_Galactose_2_300_none_1,7674269,5239,163,90.7,0.06,0,9.239999999999995,0.42,0
WT_Minimal_HisMetLeuUra_Galactose_2_90_none_3,5945089,28754,383,86.17,0.42,0,13.409999999999997,0.33,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_7,8852,2,0,88.37,0.02,0,11.61,0.63,1
YKL038W_Minimal_HisMetLeuUra_Glucose_2_45_none_1,8262795,5901,294,88.59,0.06,0,11.349999999999994,0.23,0
YGL035C_YKL038W_Minimal_HisMetLeu_Glucose_2_180_none_3,5978362,4838,226,90.53,0.07,0,9.400000000000006,0.26,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_60_none_3,3276179,2549,133,89.36,0.07,0,10.570000000000007,0.17,0
WT_YPD_none_Glucose_2_1440_none_19,5178517,4418,132,89.23,0.08,0,10.689999999999998,0.49,0
YGL035C_Minimal_HisMetLeuUra_Glucose_2_300_none_2,9320941,6834,442,88.02,0.06,0,11.920000000000002,0.3,0
YDR477W_Minimal_HisMetLeuUra_Glucose_2_30_cAMP_2,7821964,18535,777,88.72,0.21,0,11.070000000000007,0.43,0
WT_YPD_none_Glucose_2_1440_none_35,2639376,1830,57,92.69,0.06,0,7.25,0.35,0
YBR033W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_180_none_4,2663042,2195,56,92.36,0.08,0,7.560000000000002,0.16,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_4,4997363,9715,233,88.27,0.17,0,11.560000000000002,0.57,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_0.001_-1_1NMPP7_1,9447355,16153,775,87.79,0.15,0,12.059999999999988,0.37,0
YKL166C_YPL203W_Minimal_HisMetLeuUra_Glucose_2_180_1NMPP7_3,7985672,47199,366,89.96,0.53,0,9.510000000000005,0.35,0
WT_YPD_none_none_2_1440_none_7,5114519,4066,107,89.98,0.07,0,9.950000000000003,0.53,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_2,4062466,3679,86,88.35,0.08,0,11.570000000000007,0.28,0
