fastqFileNumber,sample,bam_path,perturbation_id,locus,perturbation,marker,locus_coverage,coverage_notes,log2_length_scaled,status
1,WT_YPD_none_Glucose_2_1440_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_YPD_none_Glucose_2_1440_none_1.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
2,WT_YPD_none_Glucose_2_1440_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_YPD_none_Glucose_2_1440_none_2.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
3,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
4,WT_Minimal_HisMetLeuUra_Glucose_2_45_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_45_none_1.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
5,WT_Minimal_HisMetLeuUra_Glucose_2_60_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_60_none_1.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
6,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_90_none_1.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
7,WT_Minimal_HisMetLeuUra_Glucose_2_180_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_180_none_1.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
8,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_300_none_1.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
9,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
10,WT_Minimal_HisMetLeuUra_Glucose_2_45_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_45_none_2.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
11,WT_Minimal_HisMetLeuUra_Glucose_2_60_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_60_none_2.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
12,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_90_none_2.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
13,WT_Minimal_HisMetLeuUra_Glucose_2_180_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_180_none_2.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
14,WT_Minimal_HisMetLeuUra_Glucose_2_300_none_2,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_300_none_2.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
15,WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
16,WT_Minimal_HisMetLeuUra_Glucose_2_30_none_1,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_30_none_1.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
17,WT_Minimal_HisMetLeuUra_Glucose_2_45_none_3,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_45_none_3.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
18,WT_Minimal_HisMetLeuUra_Glucose_2_60_none_3,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_60_none_3.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
19,WT_Minimal_HisMetLeuUra_Glucose_2_90_none_3,/mnt/htcf_scratch/chasem/eds1/results/star_salmon/WT_Minimal_HisMetLeuUra_Glucose_2_90_none_3.markdup.sorted.bam,geno1,WT,"NA","NA",NA,,NA,0
