sample,status
WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_1,0
WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_2,0
WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_3,0
WT_Minimal_HisMetLeuUra_Galactose_0.0015_-1_none_4,0
WT_Minimal_HisMetLeuUra_Galactose_2_180_none_1,0
WT_Minimal_HisMetLeuUra_Galactose_2_180_none_2,0
WT_Minimal_HisMetLeuUra_Galactose_2_180_none_3,0
WT_Minimal_HisMetLeuUra_Galactose_2_180_none_4,0
WT_Minimal_HisMetLeuUra_Galactose_2_30_none_1,0
WT_Minimal_HisMetLeuUra_Galactose_2_30_none_2,0
WT_Minimal_HisMetLeuUra_Galactose_2_30_none_3,0
WT_Minimal_HisMetLeuUra_Galactose_2_30_none_4,0
WT_Minimal_HisMetLeuUra_Galactose_2_300_none_1,0
WT_Minimal_HisMetLeuUra_Galactose_2_300_none_2,0
WT_Minimal_HisMetLeuUra_Galactose_2_300_none_3,0
WT_Minimal_HisMetLeuUra_Galactose_2_300_none_4,0
WT_Minimal_HisMetLeuUra_Galactose_2_4320_none_1,0
WT_Minimal_HisMetLeuUra_Galactose_2_4320_none_2,0
WT_Minimal_HisMetLeuUra_Galactose_2_4320_none_3,0
WT_Minimal_HisMetLeuUra_Galactose_2_45_none_1,0
WT_Minimal_HisMetLeuUra_Galactose_2_45_none_2,0
WT_Minimal_HisMetLeuUra_Galactose_2_45_none_3,0
WT_Minimal_HisMetLeuUra_Galactose_2_45_none_4,0
WT_Minimal_HisMetLeuUra_Galactose_2_60_none_1,0
WT_Minimal_HisMetLeuUra_Galactose_2_60_none_2,0
WT_Minimal_HisMetLeuUra_Galactose_2_60_none_3,0
WT_Minimal_HisMetLeuUra_Galactose_2_60_none_4,0
WT_Minimal_HisMetLeuUra_Galactose_2_90_none_1,0
WT_Minimal_HisMetLeuUra_Galactose_2_90_none_2,0
WT_Minimal_HisMetLeuUra_Galactose_2_90_none_3,0
WT_Minimal_HisMetLeuUra_Galactose_2_90_none_4,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_1,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_2,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_3,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_4,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_5,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_6,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_7,0
WT_Minimal_HisMetLeuUra_Glucose_0.001_-1_none_8,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_1,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_2,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_3,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_4,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_5,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_6,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_7,0
WT_Minimal_HisMetLeuUra_Glucose_2_180_none_8,0
WT_Minimal_HisMetLeuUra_Glucose_2_30_none_1,0
WT_Minimal_HisMetLeuUra_Glucose_2_30_none_2,0
WT_Minimal_HisMetLeuUra_Glucose_2_30_none_3,0
WT_Minimal_HisMetLeuUra_Glucose_2_30_none_4,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_2,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_3,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_4,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_5,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_6,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_7,0
WT_Minimal_HisMetLeuUra_Glucose_2_300_none_8,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_1,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_2,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_3,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_4,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_5,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_6,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_7,0
WT_Minimal_HisMetLeuUra_Glucose_2_45_none_8,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_1,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_2,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_3,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_4,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_5,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_6,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_7,0
WT_Minimal_HisMetLeuUra_Glucose_2_60_none_8,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_1,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_2,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_3,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_5,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_6,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_7,0
WT_Minimal_HisMetLeuUra_Glucose_2_90_none_8,0
WT_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_1,0
WT_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_2,0
WT_Minimal_LysHisMetLeuUra_Galactose_2_4320_none_3,0
WT_YPD_none_Glucose_2_1440_none_1,0
WT_YPD_none_Glucose_2_1440_none_10,0
WT_YPD_none_Glucose_2_1440_none_11,0
WT_YPD_none_Glucose_2_1440_none_12,0
WT_YPD_none_Glucose_2_1440_none_13,0
