metadata.sample_id,general.dupradar_intercept,general.percent_rrna,general.library,general.unpaired_reads_examined,general.read_pairs_examined,general.secondary_or_supplementary_rds,general.unmapped_reads,general.unpaired_read_duplicates,general.read_pair_duplicates,general.read_pair_optical_duplicates,general.percent_duplication,general.estimated_library_size,general.5_3_bias,general.reads_aligned,general.raw_total_sequences,general.filtered_sequences,general.sequences,general.is_sorted,general.1st_fragments,general.last_fragments,general.reads_mapped,general.reads_mapped_and_paired,general.reads_unmapped,general.reads_properly_paired,general.reads_paired,general.reads_duplicated,general.reads_mq0,general.reads_qc_failed,general.non_primary_alignments,general.supplementary_alignments,general.total_length,general.total_first_fragment_length,general.total_last_fragment_length,general.bases_mapped,general.bases_mapped_cigar,general.bases_trimmed,general.bases_duplicated,general.mismatches,general.error_rate,general.average_length,general.average_first_fragment_length,general.average_last_fragment_length,general.maximum_length,general.maximum_first_fragment_length,general.maximum_last_fragment_length,general.average_quality,general.insert_size_average,general.insert_size_standard_deviation,general.inward_oriented_pairs,general.outward_oriented_pairs,general.pairs_with_other_orientation,general.pairs_on_different_chromosomes,general.percentage_of_properly_paired_reads_%,general.reads_mapped_percent,general.reads_mapped_and_paired_percent,general.reads_unmapped_percent,general.reads_properly_paired_percent,general.reads_paired_percent,general.reads_duplicated_percent,general.reads_mq0_percent,general.reads_qc_failed_percent,general.total_passed,general.total_failed,general.secondary_passed,general.secondary_failed,general.supplementary_passed,general.supplementary_failed,general.duplicates_passed,general.duplicates_failed,general.mapped_passed,general.mapped_failed,general.mapped_passed_pct,general.mapped_failed_pct,general.paired_in_sequencing_passed,general.paired_in_sequencing_failed,general.read1_passed,general.read1_failed,general.read2_passed,general.read2_failed,general.properly_paired_passed,general.properly_paired_failed,general.properly_paired_passed_pct,general.properly_paired_failed_pct,general.with_itself_and_mate_mapped_passed,general.with_itself_and_mate_mapped_failed,general.singletons_passed,general.singletons_failed,general.singletons_passed_pct,general.singletons_failed_pct,general.with_mate_mapped_to_a_different_chr_passed,general.with_mate_mapped_to_a_different_chr_failed,general.with_mate_mapped_to_a_different_chr_mapq__5_passed,general.with_mate_mapped_to_a_different_chr_mapq__5_failed,general.flagstat_total,general.total_reads,general.avg_input_read_length,general.uniquely_mapped,general.uniquely_mapped_percent,general.avg_mapped_read_length,general.num_splices,general.num_annotated_splices,general.num_gtag_splices,general.num_gcag_splices,general.num_atac_splices,general.num_noncanonical_splices,general.mismatch_rate,general.deletion_rate,general.deletion_length,general.insertion_rate,general.insertion_length,general.multimapped,general.multimapped_percent,general.multimapped_toomany,general.multimapped_toomany_percent,general.unmapped_mismatches_percent,general.unmapped_tooshort_percent,general.unmapped_other_percent,general.unmapped_mismatches,general.unmapped_tooshort,general.unmapped_other,general.percent_gc,general.avg_sequence_length,general.total_sequences,general.percent_duplicates,general.percent_fails,general.cutadapt_version,general.r_processed,general.r_with_adapters,general.r_written,general.bp_processed,general.quality_trimmed,general.bp_written,general.percent_trimmed,trimmed
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0.0269030754999191,0.05843091587606866,Unknown Library,7403646,0,2792982,0,5691166,0,0,0.768698,,0.2,7403646,7403646,0,7403646,1,7403646,0,7403646,0,0,0,0,5691166,147923,0,2792982,0,550931683,550931683,0,550931683,550099901,0,423417163,912820,0.001659371,74,74,0,75,75,0,34.7,0,0,0,0,0,0,0,100,0,0,0,0,76.8697747028964,1.997975051751529,0,10196628,0,2792982,0,0,0,5691166,0,10196628,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,10196628,7621623,74,6312603,82.82,74.31,35310,32750,32685,793,51,1781,0.15,0.01,1.41,0.01,1.1,1091043,14.32,127735,1.68,0,0.97,0.21,0,74182,16060,40,75,7630297,68.85664745734888,18.181818181818183,3.4,7630297,2562615,7630297,572272275,996494,567100985,0.90364154020916,FALSE
YBR033W_Minimal_HisMetLeuUra_Glucose_2_90_none_4,0.0269030754999191,0.05843091587606866,Unknown Library,7403646,0,2792982,0,5691166,0,0,0.768698,,0.2,7403646,7403646,0,7403646,1,7403646,0,7403646,0,0,0,0,5691166,147923,0,2792982,0,550931683,550931683,0,550931683,550099901,0,423417163,912820,0.001659371,74,74,0,75,75,0,34.7,0,0,0,0,0,0,0,100,0,0,0,0,76.8697747028964,1.997975051751529,0,10196628,0,2792982,0,0,0,5691166,0,10196628,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,10196628,7621623,74,6312603,82.82,74.31,35310,32750,32685,793,51,1781,0.15,0.01,1.41,0.01,1.1,1091043,14.32,127735,1.68,0,0.97,0.21,0,74182,16060,41,73.71882629198532,7621623,67.27936983845936,18.181818181818183,3.4,7630297,2562615,7630297,572272275,996494,567100985,0.90364154020916,TRUE
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0.00872776300761068,0.003759946474844155,Unknown Library,2235507,0,467039,0,1392341,0,0,0.62283,,0.62,2235507,2235507,0,2235507,1,2235507,0,2235507,0,0,0,0,1392341,28563,0,467039,0,166526911,166526911,0,166526911,166228830,0,103698927,194312,0.001168943,74,74,0,75,75,0,35.1,0,0,0,0,0,0,0,100,0,0,0,0,62.28300783670102,1.2776967372502077,0,2702546,0,467039,0,0,0,1392341,0,2702546,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,2702546,2282406,74,2082444,91.24,74.37,12379,11585,11752,88,5,534,0.1,0.01,1.32,0,1.06,153063,6.71,22208,0.97,0,0.99,0.09,0,22633,2058,42,75,2287987,55.298427296621085,18.181818181818183,3.4,2287987,749810,2287987,171599025,199264,169995242,0.9346107881440469,FALSE
YGL209W_YKL038W_Minimal_HisMetLeuUra_Glucose_2_300_none_1,0.00872776300761068,0.003759946474844155,Unknown Library,2235507,0,467039,0,1392341,0,0,0.62283,,0.62,2235507,2235507,0,2235507,1,2235507,0,2235507,0,0,0,0,1392341,28563,0,467039,0,166526911,166526911,0,166526911,166228830,0,103698927,194312,0.001168943,74,74,0,75,75,0,35.1,0,0,0,0,0,0,0,100,0,0,0,0,62.28300783670102,1.2776967372502077,0,2702546,0,467039,0,0,0,1392341,0,2702546,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,2702546,2282406,74,2082444,91.24,74.37,12379,11585,11752,88,5,534,0.1,0.01,1.32,0,1.06,153063,6.71,22208,0.97,0,0.99,0.09,0,22633,2058,42,73.76602672793534,2282406,54.21521634839818,18.181818181818183,3.4,2287987,749810,2287987,171599025,199264,169995242,0.9346107881440469,TRUE
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_30_none_2,0.0256775102186797,6.100544822227945e-5,Unknown Library,13826609,0,3118803,0,11679448,0,0,0.844708,,0.3,13826609,13826609,0,13826609,1,13826609,0,13826609,0,0,0,0,11679448,169420,0,3118803,0,1028914319,1028914319,0,1028914319,1027190211,0,868989529,1877173,0.001827483,74,74,0,75,75,0,34.6,0,0,0,0,0,0,0,100,0,0,0,0,84.47080553156599,1.2253185144672856,0,16945412,0,3118803,0,0,0,11679448,0,16945412,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,16945412,14192674,74,12563357,88.52,74.3,79599,74869,74816,1972,151,2660,0.17,0.01,1.4,0,1.08,1263252,8.9,158796,1.12,0,1.36,0.1,0,193072,14197,40,75,14216957,75.98891220489135,18.181818181818183,3.4,14216957,4690463,14216957,1066271775,2342015,1055903330,0.972401712499611,FALSE
YGL035C_YGL209W_YKL038W_YBR033W_Minimal_HisMetLeu_Glucose_2_30_none_2,0.0256775102186797,6.100544822227945e-5,Unknown Library,13826609,0,3118803,0,11679448,0,0,0.844708,,0.3,13826609,13826609,0,13826609,1,13826609,0,13826609,0,0,0,0,11679448,169420,0,3118803,0,1028914319,1028914319,0,1028914319,1027190211,0,868989529,1877173,0.001827483,74,74,0,75,75,0,34.6,0,0,0,0,0,0,0,100,0,0,0,0,84.47080553156599,1.2253185144672856,0,16945412,0,3118803,0,0,0,11679448,0,16945412,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,16945412,14192674,74,12563357,88.52,74.3,79599,74869,74816,1972,151,2660,0.17,0.01,1.4,0,1.08,1263252,8.9,158796,1.12,0,1.36,0.1,0,193072,14197,41,73.71351276017472,14192674,74.47557012535526,18.181818181818183,3.4,14216957,4690463,14216957,1066271775,2342015,1055903330,0.972401712499611,TRUE
WT_Minimal_HisMetLeuUra_Galactose_2_300_none_1,0.0168507724183529,0.004335935241700395,Unknown Library,9048796,0,1533870,0,7021448,0,0,0.775954,,0.42,9048796,9048796,0,9048796,1,9048796,0,9048796,0,0,0,0,7021448,86494,0,1533870,0,673755030,673755030,0,673755030,672835270,0,522718305,932198,0.001385477,74,74,0,75,75,0,34.8,0,0,0,0,0,0,0,100,0,0,0,0,77.59538396047387,0.9558619732393128,0,10582666,0,1533870,0,0,0,7021448,0,10582666,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,10582666,9154193,74,8461467,92.43,74.36,35487,33457,32269,629,1417,1172,0.13,0.01,1.31,0,1.09,587329,6.42,56329,0.62,0,0.5,0.03,0,46291,2777,41,75,9158512,70.19120281198343,18.181818181818183,3.4,9158512,3027920,9158512,686888400,962663,681571932,0.7739929805191061,FALSE
WT_Minimal_HisMetLeuUra_Galactose_2_300_none_1,0.0168507724183529,0.004335935241700395,Unknown Library,9048796,0,1533870,0,7021448,0,0,0.775954,,0.42,9048796,9048796,0,9048796,1,9048796,0,9048796,0,0,0,0,7021448,86494,0,1533870,0,673755030,673755030,0,673755030,672835270,0,522718305,932198,0.001385477,74,74,0,75,75,0,34.8,0,0,0,0,0,0,0,100,0,0,0,0,77.59538396047387,0.9558619732393128,0,10582666,0,1533870,0,0,0,7021448,0,10582666,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,10582666,9154193,74,8461467,92.43,74.36,35487,33457,32269,629,1417,1172,0.13,0.01,1.31,0,1.09,587329,6.42,56329,0.62,0,0.5,0.03,0,46291,2777,41,73.76227199929038,9154193,68.62370836095715,18.181818181818183,3.4,9158512,3027920,9158512,686888400,962663,681571932,0.7739929805191061,TRUE
WT_Minimal_HisMetLeuUra_Galactose_2_90_none_3,0.0165123792564765,0.511627651373791,Unknown Library,7549061,0,1013226,0,6244320,0,0,0.827165,,0.33,7549061,7549061,0,7549061,1,7549061,0,7549061,0,0,0,0,6244320,32805,0,1013226,0,562100463,562100463,0,562100463,561172549,0,464914859,773263,0.001377942,74,74,0,75,75,0,35,0,0,0,0,0,0,0,100,0,0,0,0,82.716512689459,0.4345573575309565,0,8562287,0,1013226,0,0,0,6244320,0,8562287,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,8562287,7607147,74,6899175,90.69,74.34,59416,57439,54792,1397,244,2983,0.12,0.01,1.41,0,1.08,649886,8.54,25189,0.33,0,0.39,0.04,0,29837,3060,40,75,7615303,75.05867075128278,18.181818181818183,3.4,7615303,2572632,7615303,571147725,740067,566370004,0.8365123051133575,FALSE
WT_Minimal_HisMetLeuUra_Galactose_2_90_none_3,0.0165123792564765,0.511627651373791,Unknown Library,7549061,0,1013226,0,6244320,0,0,0.827165,,0.33,7549061,7549061,0,7549061,1,7549061,0,7549061,0,0,0,0,6244320,32805,0,1013226,0,562100463,562100463,0,562100463,561172549,0,464914859,773263,0.001377942,74,74,0,75,75,0,35,0,0,0,0,0,0,0,100,0,0,0,0,82.716512689459,0.4345573575309565,0,8562287,0,1013226,0,0,0,6244320,0,8562287,0,100,"NA",0,0,0,0,0,0,0,0,"NA","NA",0,0,0,0,"NA","NA",0,0,0,0,8562287,7607147,74,6899175,90.69,74.34,59416,57439,54792,1397,244,2983,0.12,0.01,1.41,0,1.08,649886,8.54,25189,0.33,0,0.39,0.04,0,29837,3060,40,73.75812955895292,7607147,74.01104466015751,18.181818181818183,3.4,7615303,2572632,7615303,571147725,740067,566370004,0.8365123051133575,TRUE
